onset	duration	condition_name	trial_type	stim_name	one_back	train_test	subj_resp	imagert	imagery_scene	imagery_pos
1.3999997463542968e-06	8.001537299999654	0	0	Fix	0	0	0	0	0	0
8.001536699999633	2.5015289000002667	21089	1	images\train2017\000000021089.jpg	0	1	0	0	0	0
11.500393699999222	2.5016144999999597	63881	1	images\train2017\000000063881.jpg	0	2	0	0	0	0
14.999943799999528	2.501589200000126	142207	2	A fire truck near a yellow fire hydrant	0	1	0	0	0	0
18.500327199999447	2.501535800000056	31813	1	images\train2017\000000031813.jpg	0	1	0	0	0	0
22.000445199999376	2.5016544999998587	17600	1	images\train2017\000000017600.jpg	0	1	0	0	0	0
25.50032899999951	2.501565099999425	17600	1	images\train2017\000000017600.jpg	1	0	1	0	0	0
28.99998819999928	2.501544599999761	573980	2	A snow boarder is in the air over the snow	0	2	0	0	0	0
32.500018999999156	2.501538100000289	348478	2	A white stove stop oven in a kitchen	0	1	0	0	0	0
35.99998199999936	2.5015693999994255	221313	2	A black and white duck swims in the water	0	2	0	0	0	0
39.49996899999951	2.5015685999997004	548575	2	A close up of a cake with a train on it	0	1	0	0	0	0
43.00027139999929	2.50151409999944	208623	1	images\train2017\000000208623.jpg	0	1	0	0	0	0
46.50050789999932	2.5016074000004664	560282	1	images\train2017\000000560282.jpg	0	2	0	0	0	0
50.00001329999941	2.5016522999994777	53957	2	A man working on a train in a station	0	1	0	0	0	0
53.50291459999971	2.501524600000266	0	-1	Fix	0	0	0	0	0	0
57.00046999999995	2.5015309000000343	6450	1	images\train2017\000000006450.jpg	0	2	0	0	0	0
60.49998349999987	2.5015801999998075	423618	2	A knife and a carrot are on a cutting board	0	2	0	0	0	0
63.99995549999949	2.5015259000001606	252018	2	The four people are looking at the elephant	0	2	0	0	0	0
67.50035559999924	2.5015195000005406	388902	1	images\train2017\000000388902.jpg	0	1	0	0	0	0
71.00000529999943	2.5015322999997807	390366	2	A boy using a fire hydrant as a teeball stand	0	1	0	0	0	0
74.50040659999922	2.501521400000456	484064	1	images\train2017\000000484064.jpg	0	1	0	0	0	0
77.99999779999962	2.501516399999673	250079	2	A woman sitting on a couch in a living room	0	1	0	0	0	0
81.50002919999952	2.5014797000003455	0	0	Fix	0	0	0	0	0	0
85.00042409999969	2.501654100000451	356651	1	images\train2017\000000356651.jpg	0	1	0	0	0	0
88.49986889999946	2.5015339000001404	350340	2	A meal tray with a hot dog and fries	0	1	0	0	0	0
92.00053029999981	2.501497900000686	121591	1	images\val2017\000000121591.jpg	0	1	0	0	0	0
95.50006039999971	2.501481799999965	121591	2	a man going up a ramp on a skateboard	2	0	1	0	0	0
99.00015339999936	2.5015251000004355	424351	2	People living in squalor by a market in India	0	1	0	0	0	0
102.50038679999943	2.501498999999967	315083	1	images\train2017\000000315083.jpg	0	2	0	0	0	0
106.00001119999979	2.501598899999408	180273	2	A group of people walking down a street	0	1	0	0	0	0
109.50003990000005	2.5014891000000716	443797	2	A small bed and wooden wardrobe in a room	0	1	0	0	0	0
113.0003901	2.5015167000001384	6450	1	images\train2017\000000006450.jpg	0	2	0	0	0	0
116.49998359999972	2.501519399999779	404191	2	A refrigerator up against a wall in a kitchen	0	1	0	0	0	0
120.00045619999946	2.501549100000375	157891	1	images\train2017\000000157891.jpg	0	1	0	0	0	0
123.50039899999956	2.5015143999999054	37695	1	images\train2017\000000037695.jpg	0	1	0	0	0	0
127.00003889999971	2.501518600000054	0	0	Fix	0	0	0	0	0	0
130.5000046999994	2.5014830000000075	187236	2	Cats curled up and lazing on a couch	0	1	0	0	0	0
134.00037919999977	2.501526600000034	318108	1	images\train2017\000000318108.jpg	0	2	0	0	0	0
137.49998849999974	2.5015026000000944	559956	2	Two women have stopped to pet the sheep	0	1	0	0	0	0
141.00001469999916	2.501574200000505	559956	2	Two women have stopped to pet the sheep	1	0	1	0	0	0
144.49996629999987	2.501513399999567	423618	2	A knife and a carrot are on a cutting board	0	2	0	0	0	0
148.00029399999949	2.50152960000014	201601	1	images\train2017\000000201601.jpg	0	2	0	0	0	0
